COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
50,0,0,4162.94871794872,4167.5641025641,4173.20512820513,4155.89743589744,4168.33333333333,4169.8717948718,4168.84615384615,4251.66666666667,4164.48717948718,4168.71794871795,4097.82051282051,4152.5641025641,4170.38461538462,4160.51282051282,0,0,20.8423328355245,0,20.7320137023926,0,0,0,0
51,0,0,4157.82051282051,4170.12820512821,4173.58974358974,4154.74358974359,4172.05128205128,4167.82051282051,4170.64102564103,4258.71794871795,4165.89743589744,4167.5641025641,4098.71794871795,4150,4162.17948717949,4157.5641025641,0,0,20.8503124697797,0,20.7320137023926,0,0,0,0
52,0,0,4162.05128205128,4169.10256410256,4170.38461538462,4158.20512820513,4169.8717948718,4167.4358974359,4169.48717948718,4261.15384615385,4166.66666666667,4167.17948717949,4103.97435897436,4149.10256410256,4166.66666666667,4157.94871794872,0,0,20.8582921040349,0,20.7320137023926,0,0,0,0
53,0,0,4165.12820512821,4167.05128205128,4173.97435897436,4158.84615384615,4167.5641025641,4168.84615384615,4165.89743589744,4260.89743589744,4166.66666666667,4163.84615384615,4104.48717948718,4154.23076923077,4170.89743589744,4159.74358974359,0,0,20.8661730706524,0,20.8582916259766,0,0,0,0
54,0,0,4160,4168.07692307692,4173.46153846154,4156.28205128205,4170,4165.64102564103,4165.89743589744,4262.94871794872,4167.94871794872,4167.69230769231,4104.10256410256,4154.10256410256,4171.66666666667,4156.28205128205,0,0,20.87405403727,0,20.8582916259766,0,0,0,0
55,0,0,4158.97435897436,4166.66666666667,4173.71794871795,4154.8717948718,4167.5641025641,4162.69230769231,4167.82051282051,4263.46153846154,4169.61538461538,4168.58974358974,4101.66666666667,4157.30769230769,4169.35897435897,4158.58974358974,0,0,20.8818350038876,0,20.8582916259766,0,0,0,0
56,0,0,4158.71794871795,4160.38461538462,4171.79487179487,4154.35897435897,4165.76923076923,4164.10256410256,4167.4358974359,4260.89743589744,4167.5641025641,4161.02564102564,4098.33333333333,4156.15384615385,4161.53846153846,4159.10256410256,0,0,20.8896159705052,0,20.8582916259766,0,0,0,0
57,0,0,4159.61538461538,4165,4174.10256410256,4160.64102564103,4168.33333333333,4167.4358974359,4167.94871794872,4264.23076923077,4165.76923076923,4161.41025641026,4102.30769230769,4152.5641025641,4160,4155.25641025641,0,0,20.8974959727106,0,20.8582916259766,0,0,0,0
58,0,0,4166.15384615385,4181.02564102564,4180.38461538462,4166.66666666667,4172.4358974359,4169.61538461538,4170.89743589744,4272.94871794872,4170.89743589744,4173.46153846154,4107.94871794872,4156.28205128205,4171.02564102564,4160.89743589744,0,0,20.9053759749161,0,20.8582916259766,0,0,0,0
59,0,0,4162.82051282051,4181.92307692308,4173.84615384615,4162.5641025641,4175.12820512821,4170.76923076923,4172.94871794872,4280.25641025641,4175.12820512821,4185.76923076923,4109.10256410256,4156.92307692308,4177.82051282051,4162.05128205128,0,0,20.9131559771216,0,20.8582916259766,0,0,0,0
60,0,0,4153.97435897436,4168.71794871795,4172.94871794872,4157.05128205128,4173.07692307692,4170.64102564103,4172.5641025641,4278.71794871795,4171.41025641026,4185.51282051282,4108.71794871795,4160.76923076923,4172.30769230769,4156.53846153846,0,0,20.920935979327,0,20.8582916259766,0,0,0,0
61,0,0,4154.10256410256,4165,4175.76923076923,4154.8717948718,4168.46153846154,4168.07692307692,4169.8717948718,4265,4166.66666666667,4173.20512820513,4105.51282051282,4158.71794871795,4167.94871794872,4155,0,0,20.9288146385303,0,20.8582916259766,0,0,2,0
62,0,0,4161.79487179487,4171.28205128205,4174.48717948718,4157.17948717949,4168.07692307692,4166.92307692308,4169.23076923077,4259.61538461538,4167.5641025641,4171.15384615385,4106.28205128205,4153.58974358974,4174.8717948718,4161.41025641026,0,0,20.9367932977335,0,20.8582916259766,0,0,0,0
63,0,0,4166.02564102564,4172.69230769231,4177.94871794872,4165.76923076923,4170.38461538462,4167.82051282051,4170.76923076923,4271.53846153846,4169.35897435897,4181.28205128205,4111.79487179487,4159.35897435897,4180.89743589744,4170.38461538462,0,0,20.9447719569368,0,20.8582916259766,0,0,0,0
64,0,975,4158.58974358974,4170.12820512821,4173.97435897436,4167.17948717949,4170.76923076923,4166.53846153846,4169.35897435897,4275.25641025641,4167.94871794872,4180.25641025641,4109.23076923077,4158.84615384615,4174.8717948718,4163.71794871795,0,0,20.95275061614,0,20.8582916259766,0,0,0,0
65,0,3299,4154.8717948718,4171.28205128205,4174.8717948718,4159.10256410256,4168.33333333333,4165,4167.5641025641,4269.23076923077,4165.89743589744,4166.41025641026,4103.84615384615,4154.10256410256,4164.35897435897,4157.17948717949,0,0,20.9606309840531,0,20.8582916259766,0,0,0,0
66,0,2322,4160.38461538462,4171.79487179487,4177.05128205128,4156.92307692308,4165.25641025641,4166.15384615385,4170.64102564103,4273.71794871795,4167.17948717949,4163.58974358974,4104.10256410256,4152.17948717949,4164.61538461538,4159.48717948718,0,0,20.9685113519661,0,20.8582916259766,0,0,0,0
67,0,3080,4159.23076923077,4168.58974358974,4172.5641025641,4158.58974358974,4166.53846153846,4168.71794871795,4173.20512820513,4279.35897435897,4170.64102564103,4170.38461538462,4104.35897435897,4153.07692307692,4170,4159.61538461538,0,0,20.9762917198791,0,20.8582916259766,0,0,0,0
68,0,3548,4155.89743589744,4171.15384615385,4176.41025641026,4155.25641025641,4165.64102564103,4169.23076923077,4172.69230769231,4279.23076923077,4170.12820512821,4168.58974358974,4104.23076923077,4158.07692307692,4168.07692307692,4159.35897435897,0,0,20.9840720877922,0,20.8582916259766,0,0,0,0
69,0,3175,4153.84615384615,4169.48717948718,4175.25641025641,4157.17948717949,4160.12820512821,4168.07692307692,4172.30769230769,4280.51282051282,4166.79487179487,4161.15384615385,4104.74358974359,4152.4358974359,4160.25641025641,4155.12820512821,0,0,20.9919514966061,0,20.9840717315674,0,0,0,0
70,0,3150,4152.17948717949,4155.25641025641,4174.23076923077,4157.94871794872,4160.25641025641,4166.92307692308,4170.89743589744,4272.05128205128,4165.38461538462,4153.58974358974,4102.17948717949,4148.07692307692,4152.4358974359,4153.20512820513,0,0,20.99993090542,0,20.9840717315674,0,0,0,0
71,0,2901,4154.10256410256,4156.02564102564,4175.51282051282,4154.35897435897,4166.66666666667,4166.92307692308,4169.23076923077,4266.53846153846,4167.4358974359,4155.89743589744,4100.12820512821,4152.17948717949,4152.30769230769,4153.71794871795,0,0,21.0079103142339,0,20.9840717315674,0,0,0,0
72,0,2652,4155.38461538462,4172.5641025641,4172.4358974359,4162.05128205128,4169.48717948718,4167.4358974359,4171.41025641026,4273.33333333333,4170.89743589744,4167.17948717949,4104.74358974359,4153.20512820513,4161.92307692308,4154.74358974359,0,0,21.0158897230477,0,20.9840717315674,0,0,0,0
73,0,3537,4154.35897435897,4173.58974358974,4174.10256410256,4165.25641025641,4169.10256410256,4170,4176.53846153846,4274.10256410256,4171.92307692308,4172.30769230769,4108.20512820513,4153.97435897436,4165.89743589744,4158.84615384615,0,0,21.023770454446,0,20.9840717315674,0,0,0,0
74,0,3370,4154.23076923077,4167.30769230769,4173.97435897436,4159.23076923077,4173.84615384615,4173.20512820513,4177.94871794872,4268.33333333333,4170,4170.38461538462,4105.25641025641,4151.53846153846,4162.69230769231,4157.05128205128,0,0,21.0316511858443,0,20.9840717315674,0,0,0,0
75,0,1329,4156.02564102564,4172.4358974359,4176.15384615385,4160.25641025641,4177.5641025641,4171.92307692308,4172.82051282051,4265.38461538462,4168.07692307692,4169.74358974359,4105.76923076923,4154.8717948718,4166.02564102564,4158.33333333333,0,0,21.0394319172426,0,20.9840717315674,0,0,0,0
76,0,1703,4149.35897435897,4171.15384615385,4177.69230769231,4161.79487179487,4173.07692307692,4168.84615384615,4168.58974358974,4261.79487179487,4168.07692307692,4171.66666666667,4107.69230769231,4159.61538461538,4171.02564102564,4163.07692307692,0,0,21.0472126486409,0,20.9840717315674,0,0,0,0
77,0,1110,4144.48717948718,4166.53846153846,4173.20512820513,4161.02564102564,4171.02564102564,4172.4358974359,4171.92307692308,4261.92307692308,4170.64102564103,4178.84615384615,4106.92307692308,4155.12820512821,4172.4358974359,4160.38461538462,0,0,21.0550920440796,0,20.9840717315674,0,0,0,0
78,0,3370,4153.58974358974,4174.10256410256,4176.15384615385,4163.84615384615,4172.05128205128,4174.8717948718,4176.41025641026,4267.82051282051,4171.92307692308,4183.97435897436,4109.8717948718,4155.25641025641,4175.51282051282,4160.25641025641,0,0,21.0630714395182,0,20.9840717315674,0,0,0,0
79,0,1329,4154.8717948718,4175.89743589744,4175.38461538462,4163.33333333333,4166.79487179487,4167.82051282051,4174.35897435897,4267.17948717949,4170.89743589744,4177.94871794872,4110.25641025641,4155,4174.8717948718,4160.89743589744,0,0,21.0710508349569,0,20.9840717315674,0,0,0,0
80,0,1703,4153.33333333333,4171.79487179487,4175.76923076923,4162.05128205128,4163.07692307692,4164.61538461538,4171.92307692308,4265.12820512821,4171.02564102564,4175.51282051282,4108.20512820513,4157.17948717949,4174.35897435897,4161.66666666667,0,0,21.0790302303955,0,20.9840717315674,0,0,0,0
81,0,1110,4159.8717948718,4174.10256410256,4180.89743589744,4168.07692307692,4168.71794871795,4172.82051282051,4174.74358974359,4268.84615384615,4172.5641025641,4185.12820512821,4115.25641025641,4162.05128205128,4181.66666666667,4163.97435897436,0,0,21.0869109444325,0,20.9840717315674,0,0,0,0
82,0,3370,4158.33333333333,4174.61538461538,4178.58974358974,4168.20512820513,4172.69230769231,4174.8717948718,4174.8717948718,4267.05128205128,4172.69230769231,4190.38461538462,4118.84615384615,4160.25641025641,4180.12820512821,4160.25641025641,0,0,21.0947916584695,0,20.9840717315674,0,0,0,0
83,0,1329,4153.46153846154,4171.15384615385,4180.25641025641,4165,4166.15384615385,4167.17948717949,4171.53846153846,4261.92307692308,4170.25641025641,4182.17948717949,4110.76923076923,4162.17948717949,4169.74358974359,4161.92307692308,0,0,21.1025723725065,0,20.9840717315674,0,0,0,0
84,0,1703,4152.5641025641,4170.64102564103,4177.5641025641,4165.76923076923,4161.53846153846,4166.02564102564,4170.76923076923,4261.92307692308,4169.35897435897,4178.33333333333,4106.92307692308,4161.02564102564,4170.64102564103,4163.84615384615,0,0,21.1103530865435,0,20.9840717315674,0,0,0,0
85,0,1110,4150.64102564103,4170.38461538462,4174.8717948718,4162.5641025641,4164.74358974359,4166.28205128205,4171.79487179487,4262.05128205128,4168.97435897436,4181.28205128205,4110.89743589744,4158.20512820513,4173.07692307692,4158.71794871795,0,0,21.1182324686879,0,21.1103534698486,0,0,0,0
86,0,3370,4151.53846153846,4169.10256410256,4179.8717948718,4162.4358974359,4162.82051282051,4158.07692307692,4167.30769230769,4253.71794871795,4165.76923076923,4174.23076923077,4110,4159.35897435897,4167.30769230769,4158.07692307692,0,0,21.1262118508322,0,21.1103534698486,0,0,0,0
87,0,1329,4154.10256410256,4169.23076923077,4176.79487179487,4168.07692307692,4159.74358974359,4155.38461538462,4161.53846153846,4248.07692307692,4165.25641025641,4171.41025641026,4105.25641025641,4156.28205128205,4169.8717948718,4161.02564102564,0,0,21.1341912329765,0,21.1103534698486,0,0,0,0
